"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"ALZERON",16660858,157081,960136,8286,4500,9593,12547,1599,9345,2136700,6304949,15126
"YANKE",16227105,184482,1073955,21011,2500,9692,11372,6508,12107,2136800,7645072,30010
"STEVE450",12668557,186431,904459,8761,12500,15339,11735,2315,12712,2140400,5942507,34515
"STREET VETERAN",12345678,106290,528794,10801,1234,10558,6968,2769,11214,2131200,3535202,19054
"MR. RBS",11486741,54177,351004,13028,2571,1371,1887,739,2172,2114800,1964111,9009
"MR. BANG",11219490,138649,783384,3582,1842,4359,4404,4906,5925,2129000,2160473,4243
"TERATAI",11211899,176156,598055,17058,2223,6773,4870,1693,6235,2135600,4070746,28863
"DOGTATO",10365679,193446,1073571,5347,3498,15486,10454,7638,9306,2130900,13365871,33238
"RUNNING-PUSH",10090104,226826,901464,10388,1735,19853,14966,1216,21233,2152900,8607878,41355
"BANANAJUN",10049306,199846,874679,16831,2773,7466,10723,1226,7504,2128300,4571156,16502
"ROLEN",10000528,266035,576472,12491,843,39701,13229,1665,16190,2174400,7916200,70923
"ROSS__84",9990010,109546,917442,8099,2219,12449,10094,815,6833,2144100,8817665,33310
"RARE PEPE",9679680,216558,927772,23963,3000,17281,13346,8493,19910,2182700,8216284,75349
"HARLAND",9398029,153053,688977,8287,1462,7244,4378,5914,6165,2122500,7739390,12112
"DEADSH0T",8569706,77031,678418,1397,2622,3590,3958,842,2772,2109700,2270806,8169
"ROCHELLE",8545017,79557,817076,2303,1785,5370,5516,1043,4143,2111500,4016447,11007
"ELAN",8230376,176049,680947,15381,685,8876,5621,4997,6946,2176400,7583992,52200
"DECEASED VETERAN",8129909,75570,442461,4081,1032,4819,3874,910,6122,2108800,2977073,8744
"JF 2.0",8024185,140814,560886,2851,1283,10013,6847,8144,3920,2125800,3576262,18254
"LINGA",7997790,21318,381765,5957,11658,527,2486,48,1320,1028599,395926,1685
"SPIKE SPIEGEL",7996959,50447,387521,8833,5629,1389,3043,1004,3264,2105700,1543871,12307
"130TH",7722487,89849,463952,9219,2886,4435,5339,701,5373,2124600,2439279,8692
"THERMIDORMOON",7500118,98506,614957,6436,2022,3730,5220,2356,3750,2127200,3494970,15985
"PENG",7468287,64845,463078,6634,3100,1996,3574,579,3363,2116000,2126702,7942
"MR. DESYNC",7328425,157370,612181,11542,586,11926,8839,3610,12273,2155000,5908451,59968
