"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",10818636,95093,458666,9552,1234,9344,6248,2415,9583,2126700,3192993,17335
"ELAN",5315436,111129,431694,10670,685,5833,3618,2771,4591,2139600,4955296,30595
"DIO",5082348,117030,516043,1739,2608,14595,16754,805,11050,2115500,2776435,58152
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"ROLEN",3862151,105510,250224,6604,378,15047,5606,492,8581,2128500,3514377,22959
"DOGTATO",3602719,60240,290244,2101,910,3824,3240,2475,3135,2109300,4022919,9997
"MRTEA",3245332,110533,309738,6865,593,4158,3634,1940,3901,2113900,2229568,18523
"MELLCOR",2959998,44407,150387,4579,558,3631,1726,534,4065,2103100,1045689,5355
"HEPTICAL",2852269,78460,256970,13360,1059,6613,3851,2328,6578,2118900,2363331,28251
"UNIT G17",2755173,50246,206120,3124,1300,4643,3369,865,4150,2105900,1523231,8532
"RARE PEPE",2717402,57941,240622,7695,914,5128,3179,1327,5184,2111500,1464519,29561
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2519568,78571,344806,10585,535,5945,4109,1360,3699,2109800,2904290,34280
"KUWAII",2479243,35432,188592,335,946,2125,1822,896,4618,2099200,525610,3300
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"ENDLESSSSUMMERS",2304862,61097,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"SPECINEFF",2290914,53415,120898,6581,359,3202,2714,420,3812,2108900,1013449,18466
"MR. BANG",2288617,40222,181546,2167,978,1811,1360,858,2313,1551400,426497,1622
"LORENCES",2262378,55204,185315,8338,391,3811,2573,376,5365,2107200,1559410,12539
"TARN",2239258,41874,157624,6543,418,3741,1440,271,2496,2103900,1299778,12640
"JFJFJFJFJFJF",2183714,50207,124560,4776,921,2036,1500,1449,2213,2107800,1846929,7787
"MR. WEIRDO",1974269,62588,196651,6226,521,4617,2364,1300,2459,2109900,2314510,12262
"RJ971",1968323,124775,361421,24438,455,2841,2819,1535,3952,2143800,7481105,29677
"I AM GAY",1961166,44727,116393,10595,664,3179,1914,688,4870,2103200,1392724,9049
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"ESTY",1850901,36107,143128,5251,538,1992,1276,923,1876,2103600,1592643,10385
"TERATAI",1779405,38573,105241,7237,886,1443,778,350,1222,2103100,816207,5135
"SILKY",1712271,43890,160562,9375,1236,2067,1298,192,4406,2101800,1719891,12306
"DONKY",1701749,59191,146871,9230,389,3229,1756,973,3109,2116900,2776757,19135
"MAYSTER",1667189,22893,113400,1071,2015,1763,1193,610,812,1800600,1115978,5130
"DOX",1642810,37936,177938,5001,490,2995,2279,456,2511,2101900,2250613,19498
"CHITKUA",1636576,53119,163310,6025,728,2453,1728,886,3347,2113700,2113506,19982
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"TOD THE WOODSMAN",1483206,23227,105630,2937,491,1199,722,425,748,2099300,985746,6797
"GREENHORN",1472218,37895,118968,9203,321,2466,1430,635,2192,2107900,1898132,13802
"SEMI",1465498,61884,175914,5635,452,2798,1903,1421,3957,2111800,2745312,15893
"MELOONS",1437508,26569,107222,4894,938,2142,1310,377,2153,1958400,589446,7412
"CUCUMBER",1433977,51050,150763,4684,350,3220,2291,478,4862,2108100,1737340,22948
"ROSTISLAVAMK",1423525,48557,220376,10475,986,3788,2583,234,3132,2116800,3870491,20650
"RIKKUN",1395138,49090,127327,5917,1120,2224,1137,683,1460,2106900,2383782,4466
"IRYON",1364225,67268,239197,12099,644,4027,2409,481,1557,2113900,5066726,12482
"JUNKYARD DOG",1336499,42422,161981,13592,314,2541,1421,1383,2822,2117400,2680652,43849
"REFRIGER RAIDER",1329558,49374,109791,11818,657,2731,1507,282,4220,2106800,1240721,12732
"DIASHU ZUK",1323153,62901,150382,7031,345,2021,1706,1218,3740,2113900,2061696,16736
"CAPTAIN VODKA",1289072,34891,111987,4307,413,2094,1013,478,2634,2103600,1480524,4842
"HENB1",1206733,33267,112057,2885,1185,1741,1299,600,3075,2101100,794233,3986
"CIUBE",1193444,21752,73935,6697,326,1242,1058,139,698,1858000,862633,6365
"XXLEMAGEXX",1181552,29686,89590,7117,216,1519,1094,1296,1379,2103400,1421031,5332
"OCELOT",1177216,60785,137771,7346,223,1852,1034,494,3136,2111700,2801172,13581
"KICHERKEKS",1137453,50122,163019,4872,806,1621,1417,604,2642,2101900,1799454,4984
"SRS_SCIENTIST",1129994,20387,60357,7584,627,974,243,246,313,2097500,821904,3036
"X-STAR",1117337,45423,123167,3142,374,1348,2139,605,1826,2100700,2401802,5745
"FREUDS CAT",1113574,44830,129962,7559,436,1623,1403,1563,1690,2109500,1593151,17539
"AKOGISHI",1109608,36441,133041,5730,602,2318,2306,715,2181,2102200,1324992,18742
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"GENEROYALE",1082856,21728,56190,4605,366,1191,740,75,2024,1778000,670446,3431
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"MR. NICEGUY",1079430,31880,134405,3967,783,2070,1391,240,2004,2100000,1409614,9473
"STAXXY",1078673,22582,95840,3646,1386,1858,922,597,1320,2097300,1074331,5548
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"DARKYPWNZ",1074911,32822,99679,6700,377,2209,1847,442,3133,2103100,1394028,9914
"ZARTACLICKING",1074578,33426,120978,4654,539,1847,1639,440,1494,2100000,1806219,11189
"PSYDROSE",1070512,42934,141461,10128,383,2106,1942,257,2450,2102900,2386053,14003
"HIDDEN_DRIVER",1063069,15306,60203,4288,287,1170,962,67,2330,1258700,880681,4323
"LEMONPOWER",1060039,36166,110627,8406,714,1569,669,74,1239,2098900,1322915,7579
"JET3",1047331,59815,149359,9269,304,3253,2103,328,3281,2113300,2647903,19553
"ZEPHYRANTES",1040651,15743,70457,3293,527,1038,628,42,1294,1594900,669639,2607
"MR. MRRINTAKARVA",1029520,31779,136387,4735,456,1470,913,791,957,2101500,3461834,4605
"GARNETZ",1022064,69465,115720,12071,683,2228,839,493,2537,2099300,1216257,9604
"DREADNOUGH",1001810,20334,76152,2553,381,1373,765,408,1590,1727500,1036200,9524
"LUA",968821,19316,94581,4513,1034,885,435,13,818,1167300,639061,2915
"THANSHUHAI",944069,16374,79106,299,1994,1009,504,325,488,1029000,686902,812
"LENNY",922421,21029,87199,1960,4000,1512,1009,124,1322,1913600,938606,2379
"NOBIO",917672,29321,106479,4792,381,1325,704,172,1474,2097700,1763875,5708
"THRILLSEEKER",908902,23337,90232,914,1078,1269,872,547,946,1832300,691935,2246
"PHLOIDE",881861,42300,139862,11029,297,1531,874,656,1788,2111400,2624575,12313
"IRON_BEN",879612,71323,107145,8869,813,4655,1853,255,4408,2116300,1262770,10039
"HELLNO",816837,30505,114656,5229,689,1106,733,66,2573,1689700,615043,2094
"SHIGEGGG",796296,65843,166823,16309,410,1177,1151,629,3496,2123000,4363945,6409
"ASSIMILATOR",796166,31231,89894,7504,345,1557,1162,303,1415,2099500,1261268,14355
"SIR. PAIN",792601,46196,99765,9821,254,1468,780,593,3005,2104700,1488342,8344
"THRAXS",779066,28731,95122,2689,411,1196,847,578,1176,2099200,1402138,6778
"DKFLA2222",766763,32930,132208,9954,326,1053,773,194,1586,2078500,3079709,9154
"SKATEGRAVITY",759567,21312,78614,4674,407,821,516,329,1060,2003000,1306070,3176
"JATIMATIK",755300,35320,85764,7609,403,1745,1284,985,2058,2102500,1549561,6873
"MUKAIJIMA",754737,50332,161110,38240,181,1937,1504,1017,2750,2099000,1846952,51510
"OUTOFMEMORY1",753100,44482,86807,4577,407,1189,1194,586,2571,2103300,1096052,5857
"SILVER BACK",704848,43640,99313,11616,175,1210,866,634,1883,2109600,1450966,10484
"IMOMUSHI",679027,34769,82494,6953,352,2905,2004,560,2405,2103400,1483874,12328
"BREAD",676495,29862,81051,8928,472,1027,660,534,2850,2099900,1495434,5844
"ESP-PLAYSKULL",674641,18438,77561,1739,839,583,596,299,792,1271900,458609,1936
"PINGO",669407,41239,79848,4982,1126,2148,543,547,1316,2107900,1445231,5293
"BED RELT",666734,29690,101888,980,473,784,842,845,408,2100500,2877127,5277
"MOBIUS STRIP",658849,20237,74309,3543,343,2390,2040,172,1373,1774700,869882,9514
"DBR0WN",649049,19257,48927,1563,286,937,387,548,1076,1647800,892037,2961
"STEYR",645057,13325,48612,3332,349,934,508,35,732,905500,558810,1861
"NACALYATOR",644536,40807,95997,5219,465,2495,1774,518,2288,2105100,1307007,8583
"DOMEHATOP",636313,15306,67942,2921,554,829,650,78,1566,946900,578350,2895
"MR. GREENBEANMK1",634868,23621,115286,2249,1024,1444,1497,58,865,1715400,488104,3586
"STEFANOBANG1",620916,32924,64388,4995,315,1059,690,120,2156,2099600,1893101,3859
"OM",617760,21027,90896,2318,342,1694,1110,477,1077,1882700,760125,9929
"BLUE2TH",616371,24195,86924,7655,472,1506,1466,357,1741,2097300,1064838,7693
"CY@",609022,20494,40611,7584,454,1251,592,77,1494,1986700,510575,5631
"ANZAC_JOE",604329,32119,80154,6835,510,591,972,306,687,1914800,1575816,7048
"JUSTIN FAN",604026,29989,79280,5026,194,1160,1057,473,980,2105100,1762944,7313
"ZELF",590227,8020,29406,1868,1640,777,466,36,1298,494100,168495,1400
"JERSEYFIGHTER",589950,20380,43386,9073,362,533,382,212,1271,1718000,692826,3067
"RANDY UCHIDA",586900,21678,43247,2271,355,1081,868,57,1546,1549300,358425,4281
":3",584763,41425,81809,15467,443,889,686,780,1653,2103400,1016809,18416
"LIFY",584376,10423,55702,559,586,880,584,143,686,930900,463710,2597
"COCONUT135",579758,24543,57269,6672,198,1022,579,168,1618,2099600,733473,6476
"CODERNEM",573126,21604,51804,3886,217,561,314,475,714,2097800,729710,1947
"CORBEN DALLAS",569688,36693,92112,11815,373,690,987,273,1351,2097700,1637362,17265
"ONLINE SECURITY",560833,12579,46049,2891,296,413,233,33,810,1289500,730146,1057
"LEETCH42",558966,52955,99737,20206,188,429,650,235,1760,2103000,2722119,12559
"YUKI-NYAN SENPAI",548756,10313,58629,119,1210,536,288,330,292,721800,279078,1099
"MR. DESYNC",547991,13337,46642,1040,327,941,516,104,1708,1329500,502855,5660
"ZULU-XI",545855,4760,39500,140,12119,146,61,8,59,117300,17391,212
"DEADMAN123987",544950,22056,42162,2053,249,1193,524,193,1554,2097600,748456,2559
