"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"ALZERON",16468500,155616,947659,8223,4500,9531,12464,1574,9295,2136200,6236981,15039
"YANKE",15750202,181484,1043524,20731,2500,9607,11077,6304,11987,2136000,7509320,29651
"STEVE450",12505878,183801,896211,8668,12500,15009,11608,2262,12414,2139800,5874358,34085
"STREET VETERAN",12345678,106290,528794,10801,1234,10558,6968,2769,11214,2131200,3535202,19054
"MR. RBS",11486143,54141,350932,13022,2571,1371,1886,738,2172,2114800,1963318,9002
"MR. BANG",11024226,137340,770928,3575,1842,4300,4348,4671,5896,2128600,2151941,4221
"TERATAI",10861301,170699,576609,16685,2223,6681,4624,1581,6076,2134500,3906436,28236
"DOGTATO",10365679,193446,1073571,5347,3498,15486,10454,7638,9306,2130900,13365871,33238
"ROSS__84",9819016,107435,901705,7945,2219,12232,9852,802,6708,2143300,8669192,32856
"RARE PEPE",9679680,216558,927772,23963,3000,17281,13346,8493,19910,2182700,8216284,75349
"ROLEN",9664027,262236,560993,12377,563,39075,13030,1641,15994,2173200,7815220,69739
"HARLAND",8953499,147897,647217,8055,1462,7162,4286,5726,6006,2121600,7576839,12046
"DEADSH0T",8367566,75683,662181,1373,2622,3549,3848,816,2736,2109200,2218053,8076
"RUNNING-PUSH",8315899,193636,760572,9432,1735,16149,12367,1142,17547,2145900,7132518,35119
"DECEASED VETERAN",8101973,75419,440857,4073,1032,4818,3869,906,6119,2108700,2965465,8739
"ELAN",8043828,172016,666443,15114,685,8769,5505,4776,6855,2174400,7421682,51011
"JF 2.0",8017415,140582,560332,2849,1283,10004,6840,8127,3918,2125800,3572306,18240
"LINGA",7997790,21318,381765,5957,11658,527,2486,48,1320,1028599,395926,1685
"SPIKE SPIEGEL",7996959,50447,387521,8833,5629,1389,3043,1004,3264,2105700,1543871,12307
"ROCHELLE",7480837,70274,719507,2092,1785,4891,4972,871,3866,2109100,3695213,10259
"PENG",7100396,60872,431376,6358,3100,1946,3430,554,3141,2114200,2012458,7675
"MR. DESYNC",6421981,141724,539146,10121,529,10739,7943,3064,11367,2146700,5158907,53820
"FOX IN BOX",6111122,44636,322010,5196,3918,1625,2678,800,1916,2105300,1872996,6535
"POSTALMANER",5988153,160784,616612,19102,1868,5700,5560,3238,6577,2131100,8908359,13738
"130TH",5898088,82104,375941,9074,2886,4094,4831,678,4623,2121900,2234509,8470
"JUSTIN FAN",5785163,218239,620916,21930,336,11220,13461,5203,7259,2186100,12631571,49380
"DIO",5739380,132912,583322,2049,2608,16800,19527,1043,13362,2118600,2951384,64095
"BLACKANDREW",5525565,169343,754032,19853,561,10759,8773,4355,7254,2137100,6581248,82312
"BANANAJUN",5219402,159987,529081,14668,1467,6021,7639,1059,5545,2120600,3357677,12963
"BUSTNCAPS",5184112,169608,457540,9561,1004,7685,8091,8080,5817,2161600,7585728,26575
"TIANYA",5167365,76936,575336,1603,2700,3532,4168,611,5617,2103700,1497225,5299
"MR. BADADD",5159332,119533,584376,9949,1000,6584,4274,3914,3174,2144500,5443058,24115
"MR. TOUGH",4949931,83859,357083,11242,3333,2692,4109,451,3819,2117400,2001656,15127
"WANZER",4670345,121593,567389,13134,604,4270,4185,4389,2946,2115900,8373950,25802
"1996-6666",4655370,63825,395107,3782,5050,3120,3644,1877,2576,2107500,1933253,29064
"BEIANBEI",4325773,128387,429267,18506,2313,5417,5592,2734,8175,2126500,3988280,22104
"NUOBOY",4324097,97639,460650,23315,1400,4964,3398,3715,4529,2154600,5148840,52398
"MRTEA",4312557,146882,398196,8273,593,5525,5496,3148,6355,2119900,3677593,25505
"X-STAR",4292105,144618,418021,8607,576,4108,7935,4379,5138,2110600,6409888,21899
"LIU DA DIAO",4249098,80397,306121,7380,3765,3326,2782,1581,3284,2108600,2039781,11004
"::PANDA::",4240618,115251,423192,7034,2222,4177,5741,7527,4228,2126000,4967427,17396
"UNIT G17",4162086,77519,311251,4374,1300,6961,5178,1861,6170,2116100,2287649,15053
"RJ971",3968946,217810,649206,31467,455,5496,5855,4875,7430,2176900,12984796,81922
"SHEITANYAHOUÂ²",3921943,101750,432163,1981,2745,5634,5788,958,3393,2113900,3303930,12239
"LUOBOQIEZI",3790313,97900,312677,9800,2796,3660,2947,584,2201,2114200,1826958,6626
"HEPTICAL",3715931,99637,345416,14942,1516,8919,5225,3797,8214,2124900,3010293,35985
"MR. WEIRDO",3637658,112350,390675,10749,1234,7923,3841,2678,3954,2123300,4903358,23962
"VCC",3629300,90127,392571,13094,1771,3367,3848,1184,3598,2128500,5987534,19258
"ROBERT A. GREEN",3608620,114883,350715,15192,850,4751,4628,3481,5426,2140200,6829888,33495
"SHIGEGGG",3559316,202976,492214,33131,410,3879,2590,3556,10060,2177500,13901421,23754
"SILKY",3558721,133518,410249,23775,1236,4015,4029,1080,9737,2125500,3786079,39510
"THRAXS",3527909,89536,340625,6035,1125,3935,2991,2547,3575,2126700,4528789,29562
"MELLCOR",3430379,52946,179434,5453,558,4133,2053,730,4941,2105700,1229406,6069
"Ã¤Â»Â¥Ã¤Â¸ÂÃ¦ÂÂÃ§ÂÂ¾",3316889,55794,318823,2732,1772,4017,3199,1156,2670,2106700,3433043,16861
"NO-BIO",3272282,67101,305459,2976,1069,1870,2594,1024,3406,2104600,4159958,11514
"LORENCES",3242063,80606,282880,11466,448,5108,3771,505,7236,2116000,2118104,19329
"NANMULI",3151359,75154,363304,4625,753,2372,2473,2408,1297,2118400,3667634,12570
"SWISS HAZE",3120855,64814,221085,5758,755,1790,2072,1834,1567,2119900,2559535,13022
"SEMI",3108853,109740,331869,10359,594,5202,3746,2802,7308,2131200,4679462,31743
"KICHERKEKS",3096322,101529,322866,6878,806,3989,3721,1711,5465,2111600,2941055,8320
"CKYAN",3093557,86371,240742,9026,1705,1922,2179,4835,5197,2121200,3014077,16619
"MR. DARUD",3088070,178509,288221,4756,491,4744,6292,3092,2245,2116200,5324584,17536
"TW CYC",3084902,62162,269768,8461,1037,2884,3222,2994,3038,2107500,2743250,11695
"SMOKO",3073252,113731,255670,2669,1391,4914,4671,2771,3441,2113000,4595188,37930
"CC1992125",3003837,88845,266392,4984,1936,1769,3422,1813,1909,2112700,2033377,18243
"WULAWULAWULA",2993327,95759,2077,3513,109,126,135,13,3475,594000,25924,1293
"XZHI",2974994,52883,179218,2333,3622,1541,2515,851,2048,2101100,934809,4018
"KDSE",2937977,95191,309606,9818,739,4673,5907,5446,6752,2121800,3754286,26033
"CHITKUA",2843110,93056,313610,10513,728,4204,3853,2095,6153,2136900,4747612,49085
"SARGENT WHISKY",2835162,68579,236278,9990,2246,4842,3259,1221,4320,2126100,3490773,18751
"PANZER_KATZE",2807038,71016,323049,5563,530,3528,4601,3776,2986,2125600,4546752,15687
"JFJFJFJFJFJF",2783526,74299,164743,6229,921,2760,1980,2437,2998,2118100,2595212,11794
"EVKING",2765731,55615,222662,2827,1335,2806,3191,2134,2969,2102500,1357808,16167
"MR.YOU",2759884,117405,467228,6249,1740,9500,11828,1607,9216,2122600,4634144,68056
"LIUSUAN",2746604,54430,290773,9009,1307,3529,2992,3090,5929,2106800,4197810,15846
"HELLDIVERS",2693274,55970,234842,5920,1642,8703,7108,1077,4236,2107400,3801207,13417
"FLAT CAT",2671585,99874,312497,10830,401,2963,3233,5049,3334,2134400,3953591,36090
"CUCUMBER",2652572,80234,250732,6534,350,5714,3981,1022,7315,2118700,2963443,38289
"SHELYMA",2618090,104331,368909,15147,446,3411,4269,2655,3230,2135000,7965722,28613
"LENMO",2611772,62264,277376,16438,1066,2493,3596,1312,3601,2113000,3148146,22714
"MSCONFIG",2607274,99296,258420,12181,1745,5562,3799,4329,1773,2124600,3075714,17080
"XIAOJUHUA ",2601720,65740,147964,3423,710,1494,1302,2024,3286,2106200,2234713,6878
"THE FARMER",2580834,44775,225118,5657,1721,3563,4837,736,3608,2103200,1363050,20011
"DOX",2579274,62408,298542,8359,490,4542,3854,680,4309,2113500,3540147,31959
"MR. GRELO",2555587,61271,216442,6925,2596,2185,2434,845,1576,2105200,1790905,7150
"KUWAII",2551595,37065,196481,341,946,2166,1872,927,4696,2099500,574235,3479
"123CABOOM",2550232,126652,273715,19679,5275,2565,3224,1740,4322,2146000,3861646,12707
"SPECINEFF",2549224,66751,147696,8130,359,3692,3324,592,4700,2114700,1380515,23485
"MELOONS",2524060,39926,183875,6075,938,3475,2139,565,3262,2100800,1019006,11357
"BLUE POISON",2513471,28416,162508,2082,2108,491,1412,494,763,1855600,904521,2654
"BIG G",2508702,120392,274406,11026,1841,2092,4510,7116,6203,2131400,5073084,31476
"MRSSR",2475281,82180,265724,18561,675,2547,3172,2061,3060,2121400,2595305,12289
"THERMIDORMOON",2469538,52289,239717,4310,924,1486,2593,1214,2189,2108400,1994216,8325
"BAZINGA-HJT",2458410,49627,133443,5680,1244,3788,702,69,1011,2100200,684959,6300
"DAIDAI2BZHE",2456776,70797,235351,8649,1113,2023,2134,1449,2580,2122000,2543810,13783
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"TARN",2399088,47615,173967,7436,418,4123,1586,356,2762,2106400,1499138,14043
"BREWER",2380642,60706,300442,3692,706,789,1463,2391,779,2108900,4522883,20376
"VON F",2365651,79551,284629,12200,595,1569,2986,1627,3228,2128500,5198227,28201
"PANZER KATZE",2348168,46535,270467,613,1425,2101,2160,3058,2121,2102000,2983557,6627
"CAIXUKUN(NMSL)",2346920,83170,321156,11722,1198,4195,6151,1075,3509,2125200,3047162,16789
"KILROY",2345960,56957,223679,11885,371,4424,2222,1859,4142,2114800,2685228,17721
"LT",2345410,46298,240647,7668,1859,725,1636,1199,1345,2112700,1654919,8055
"KOISHI7",2328135,68464,189770,10703,777,3233,2160,1740,3632,2113100,1864740,13274
"OLD FART",2325792,29915,152955,1025,731,3114,2276,366,4420,2099600,1081796,11857
"ENDLESSSSUMMERS",2318739,62206,115845,12365,698,4336,2344,468,5439,2109800,1615706,12525
"MR. GENESIS",2294194,51743,254662,4195,7999,2181,1459,724,1959,2104700,1906878,6090
"XM177",2263350,65139,189721,20295,329,2500,1987,3544,3823,2107500,2965339,12472
"OFFICER1234",2255630,79759,224648,6583,2851,2786,2990,3761,2458,2114100,3547821,8239
"MIKU!!!",2250996,85937,173668,18695,625,4157,2434,2726,3882,2126700,1672862,16748
"QAZWSXEDHAU",2248377,56534,232661,8601,2267,1425,2664,1441,1817,2118500,2401959,15848
"MLINH",2238991,97500,194324,7067,2500,2086,2812,5388,2787,2123100,4603847,8980
"F2P_MAGGOT",2231722,78330,212335,14766,244,3688,3843,2358,6760,2123700,2606995,24119
"CAPTAIN VODKA",2206543,67168,204246,6969,469,3276,2096,1451,4292,2118300,2470861,8942
"U",2205854,58999,238610,4466,1123,1823,3686,2897,1670,2112600,2810289,12340
"MADNEZZZ",2186838,79670,230024,8554,459,3612,2755,1885,3446,2121900,2794453,19457
"BEETCHER",2182109,84870,291219,4523,2226,4731,10591,430,8923,2109200,2844129,15249
"I AM GAY",2167644,51159,133085,11518,664,3577,2231,807,5566,2105300,1604759,10180
"DINGYC",2161992,62055,313604,4050,966,796,1738,4952,1056,2114200,2009854,17881
"JATIMATIK",2131533,68139,219015,10179,436,3823,2853,3086,3433,2113600,3720030,9328
"TKW",2114720,95459,255153,5734,1036,5493,6700,589,6509,2111800,2759529,43155
"YUJING",2101326,39140,192969,5643,1389,1388,1332,1708,1160,2102600,2564966,12599
"ELVA",2100729,58457,188376,7776,1479,3726,2110,432,2168,2101300,1564628,12842
"WJSLK",2097397,57100,273100,15472,1073,4604,4116,639,8496,2118300,2841276,23646
"CHEN WAN",2088470,85036,214156,11888,2419,4350,2027,1379,3204,2117900,2510982,14613
"MR.DABAO",2065579,51557,172491,4615,2383,1099,1959,1594,1120,2105200,2190068,6877
"8286556",2047709,45015,161632,9293,1903,1702,2127,684,2347,2107100,1552013,13154
"ZHT141",2039641,59206,197584,9414,1465,2316,2541,1094,1836,2105700,2065372,11609
"MR. KOLOXAA",2037389,69959,213025,6622,721,3039,1712,1661,2375,2111800,2842316,10439
"KF EZOREDFOX",2035123,33655,159137,854,1666,1558,2802,840,2816,1787800,858308,2166
"TPBEAR",2025386,48137,161873,7317,1429,2214,1758,974,2644,2108900,2099045,6366
"DONKY",2011822,66632,164647,9832,389,3582,1992,1147,3464,2120700,3025449,21920
"PAOJUE",2008763,57440,251244,3060,641,2830,1732,1629,2967,2107700,3620505,5414
"LL",2008552,50379,165858,4080,1610,889,1564,626,1522,2101100,1590169,4908
"LENDANXIONG",2003237,39186,159875,5629,1318,2299,2212,743,2590,2104100,1670757,9160
"M1213",1976239,75688,192566,5720,486,2975,3413,523,3678,2114900,2960884,13057
"ZRESAD11",1953367,60046,224502,4082,821,3839,2372,1700,3488,2117500,2581159,7613
"LLLLL-",1948483,46420,274857,910,1315,4269,2822,566,2726,2101300,1348488,8097
"TOBY15",1936484,41732,178665,8139,508,1675,1201,1643,1393,2104700,1161608,4572
"JOE SHMO",1930823,82619,263343,8474,405,2824,2051,851,2026,2122900,2909996,26865
"I_EAT_BULLETS",1930594,60253,198558,6500,333,2590,1777,1505,2695,2113100,2591464,14529
"ESTY",1922377,38154,150907,5531,538,2076,1329,977,2006,2104600,1700248,10972
"DIGITYIGIT",1913285,57141,160411,8178,679,2844,1741,930,3848,2113500,2409295,7649
"CN_98K",1911403,51911,158663,6142,2222,2976,2064,670,2682,2108200,2174893,8881
"SOLOMONCHI",1898684,31042,138078,4661,723,2433,1676,465,3760,2100100,1457981,7245
"STAXXY",1890212,45131,191702,6722,1386,3079,2065,1857,2402,2109500,2160736,10821
"OLDDIRTZ",1885683,82821,202595,12765,230,1122,2711,3144,2349,2128200,4652288,16924
"WASUPZ3R",1876819,53063,223243,7429,783,1666,1436,1168,1597,2111200,3979585,7629
"DRESRIL",1876410,65560,174687,5873,857,3559,2243,2969,1851,2116900,1565043,9072
"BLACK VIPER",1870208,48531,206496,2054,1000,1145,2324,6827,1562,2103000,2025791,5015
"MR.MUDE MG",1843756,92142,288739,24334,271,2208,2452,601,4687,2123600,5704781,49994
"TOD THE WOODSMAN",1837135,29400,138114,3518,505,1458,1001,501,908,2103800,1194949,8449
"HELLNO",1831475,50226,137929,6523,689,1511,927,289,4599,2098300,832325,3407
"1212333",1823224,41858,166320,8310,1478,1697,1857,557,1472,2106800,2006965,6926
"MR.D",1822197,52708,157090,5940,944,1935,1598,1549,2122,2108300,1935701,6356
"AWPS",1807620,66700,240543,17523,599,2576,3284,1776,4141,2121400,2741090,27669
"MR. GREENHSS1",1802192,46991,152209,8076,1113,1419,921,588,1424,2108800,1951940,6686
"MAYSTER",1795427,26677,130438,1413,2015,1952,1345,700,883,2097700,1413788,6000
"JUNKYARD DOG",1789906,53893,218251,16471,314,3224,2025,2151,3461,2128100,3851121,56066
"DIASHU ZUK",1783737,83344,205956,9355,345,2640,2324,1802,5185,2127000,2726322,22231
"MADEZHIZHANG",1781001,57049,182222,4220,309,2071,1798,2176,1695,2109900,3194484,7148
"MERBLE",1775603,45340,170942,5526,574,2233,1708,1653,2142,2104200,2094009,9424
"ZEENWORE",1770868,63023,187207,6816,451,4308,3007,3212,1659,2123000,1901751,18825
"KILOTWOBRAVO",1768868,59422,136348,10774,848,4566,2345,42,5674,2103700,1083852,12055
"GHOSTNZ",1748599,56603,175207,11987,555,2517,1808,2174,3169,2113800,2203273,13166
"MASSDYNAMIC",1746915,39146,162726,4476,1211,1491,1118,1685,1655,2101800,2103069,4878
"MR.CHIP",1741403,73929,235109,4785,1652,1417,1532,1962,1877,2103300,2497645,13034
"OSTIN",1735848,63842,261716,14952,8032,2418,4120,707,4591,2111100,1866754,20743
"REFRIGER RAIDER",1723260,62185,144770,13585,657,3433,1961,387,5264,2113000,1574257,16955
"SNIPER",1700787,82540,187454,12839,1443,4969,6500,129,4017,2118100,1787882,10891
"AKOGISHI",1698717,60410,199622,8154,602,3275,3869,1729,3504,2110100,2149551,30539
"MUKAIJIMA",1694589,90811,296192,62457,235,3603,3046,2248,4249,2101800,3284564,88719
"GAIJINSAMA",1691541,53667,179459,5772,1337,1196,1850,1985,1463,2107700,1996663,7057
"MR.GREETS",1689978,77193,176255,11340,606,2827,1459,2579,1649,2109900,2855029,7625
"XID",1689279,47500,175565,3397,665,2851,1966,678,2646,2104700,3715660,6171
"ME. XUZHILI",1688947,72852,203724,12590,603,2241,3727,853,3548,2115700,3190416,4693
"ME LXR",1682874,50637,145743,5190,962,1680,1499,725,1577,2112700,1770868,2961
"MINISHEEP",1658525,66851,213792,14789,356,1769,2482,674,1871,2111100,2862314,21018
"GEORGE STEVEN",1657419,43280,130791,4876,422,2747,1751,1251,3066,2104400,1311393,13998
"AUTUMNSNAIL",1654095,71378,205979,7405,2310,1473,1272,3036,1523,2117700,2318292,7797
"PINGO",1647199,93620,198740,11014,1126,5696,1654,1665,3214,2140900,3502901,13380
"LIUCCCC",1645358,58930,174332,11645,1793,1058,2530,1244,2948,2111300,1399263,12269
"WILLIAMIONIANA",1644805,58538,160141,6793,3294,2525,2028,2554,4141,2109200,1663002,9114
