"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11501597,100426,488973,10136,1234,9848,6586,2610,10397,2128600,3350198,18041
"ELAN",5684671,120198,463900,11292,685,6475,3891,3032,4954,2145600,5305448,33458
"DIO",5595884,129343,567486,1943,2608,16640,19269,966,13094,2117800,2888214,63236
"DOGTATO",4631982,84744,419492,2771,910,5543,4588,3528,4338,2114500,6194459,14537
"ROLEN",4286185,118993,280334,7182,378,16741,6195,611,9280,2132500,3986510,26359
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3543049,120638,335261,7193,593,4655,4289,2249,4756,2115200,2457592,20960
"RARE PEPE",3312515,74819,303974,9979,914,6442,4231,1692,6549,2120900,2121433,36361
"UNIT G17",3058565,55871,228265,3334,1300,5129,3756,1076,4558,2107500,1677872,9642
"MELLCOR",3010667,45885,153923,4677,558,3711,1777,556,4236,2103500,1066773,5438
"HEPTICAL",2930867,80948,266037,13519,1059,6879,4009,2400,6776,2119800,2408489,29314
"MR. BANG",2913794,48003,219246,2269,978,2177,1582,1058,2837,1685100,503691,1774
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2521420,78618,345066,10590,535,5948,4113,1364,3702,2109900,2905792,34328
"KUWAII",2479243,35601,188592,335,946,2125,1822,896,4618,2099200,525612,3301
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"LORENCES",2425626,60027,202784,8936,391,4063,2757,410,5745,2109000,1648031,13729
"TERATAI",2408777,58779,153836,8557,886,2007,1139,574,1834,2108900,1272224,8582
"JFJFJFJFJFJF",2406227,55642,137848,5122,921,2215,1629,1685,2484,2110200,2039450,8729
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"MELOONS",2298296,36041,162977,5741,938,3189,1980,471,3069,2099500,866107,10493
"SPECINEFF",2296540,53947,121850,6616,359,3208,2721,426,3826,2109100,1030235,18672
"MR. WEIRDO",2257599,69217,226818,6722,842,5212,2624,1480,2774,2111800,2662992,14097
"TARN",2240186,41905,157722,6550,418,3746,1443,271,2500,2103900,1300930,12653
"ROSS__84",2211869,24172,189311,2102,885,2654,1429,145,1530,2098600,1563035,8571
"RJ971",2194683,137438,398189,25549,455,3216,3055,2008,4491,2149200,8204265,36406
"DONKY",2011822,66632,164647,9832,389,3582,1992,1147,3464,2120700,3025449,21920
"I AM GAY",1963189,44889,116660,10613,664,3187,1917,692,4874,2103200,1398327,9069
"SEMI",1960363,77472,223873,7038,594,3469,2571,1807,5134,2117900,3357607,21215
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"ESTY",1854124,36226,143536,5263,538,1998,1279,923,1895,2103600,1595788,10415
"TOD THE WOODSMAN",1797205,28790,134914,3447,491,1423,972,494,891,2103400,1162696,8284
"CHITKUA",1794775,58891,184787,6776,728,2771,2127,972,3794,2117700,2460975,24196
"X-STAR",1728169,59593,170369,4072,413,1868,3054,1086,2469,2102500,3166394,8521
"SILKY",1712901,43971,160669,9388,1236,2067,1298,192,4412,2101800,1721596,12320
"MAYSTER",1676588,23324,114437,1091,2015,1778,1203,615,821,1834400,1133739,5182
"DOX",1654482,38258,179432,5038,490,3014,2301,460,2521,2102000,2270648,19659
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"JUSTIN FAN",1615428,72479,207418,10131,305,3676,3845,1421,2208,2130300,4314799,17983
"LLLLL-",1557797,37242,226317,768,1315,3807,2502,371,2389,2099500,1056520,7003
"CUCUMBER",1548678,53380,159689,4842,350,3403,2392,508,5131,2109100,1823916,24031
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"JATIMATIK",1526774,55427,162701,9386,436,2944,2238,2196,2867,2109800,2828776,8552
"SHIGEGGG",1513490,102285,222960,19651,410,2135,1473,1308,6230,2133700,5849537,10004
"GREENHORN",1476629,38124,119570,9261,321,2478,1436,637,2225,2108000,1906231,13918
"DIASHU ZUK",1446533,68463,164838,7597,345,2208,1846,1375,4116,2117000,2243810,18254
"ROSTISLAVAMK",1426674,48643,220857,10489,986,3798,2584,234,3137,2116900,3876731,20684
"JUNKYARD DOG",1410646,44169,170996,13890,314,2693,1489,1525,2949,2118700,2870578,45588
"RIKKUN",1395138,49090,127327,5917,1120,2224,1137,683,1460,2106900,2383782,4466
"KICHERKEKS",1373644,55472,185221,5189,806,1935,1695,764,3124,2103000,1881610,5248
"IRYON",1364225,67270,239197,12099,644,4027,2409,481,1557,2113900,5066726,12482
"REFRIGER RAIDER",1340520,49887,111027,11884,657,2754,1513,287,4278,2107000,1253595,12848
"CAPTAIN VODKA",1291609,35039,112370,4314,413,2097,1016,484,2679,2103700,1483892,4876
"1",1278323,56666,145449,12687,365,1764,1772,391,3506,2107800,1684185,9837
"THRAXS",1234486,39078,140396,3420,561,1725,1234,942,1750,2104400,2023605,9646
"HENB1",1206733,33267,112057,2885,1185,1741,1299,600,3075,2101100,794233,3986
"PINGO",1204466,72416,147709,8319,1126,4175,1199,1268,2476,2129500,2587795,9810
"CIUBE",1204189,22210,75010,6855,326,1258,1070,142,703,1902300,874941,6489
"ZARTACLICKING",1183889,36688,133325,5029,539,2082,1813,484,1635,2101500,1954030,12543
"XXLEMAGEXX",1181552,29686,89590,7117,216,1519,1094,1296,1379,2103400,1421031,5332
"OCELOT",1177216,60785,137771,7346,223,1852,1034,494,3136,2111700,2801172,13581
"MR. DESYNC",1170016,25408,94933,1872,529,1971,1221,202,3081,2100200,945941,11116
"SRS_SCIENTIST",1129994,20387,60357,7584,627,974,243,246,313,2097500,821904,3036
"MR. MRRINTAKARVA",1123377,34079,145205,4987,456,1589,956,877,1102,2102300,3715472,4769
"AKOGISHI",1122468,37063,134784,5798,602,2332,2338,723,2201,2102400,1347551,19094
"MR. NICEGUY",1122304,33467,141197,4172,783,2138,1465,266,2069,2100800,1515182,10062
"STAXXY",1113600,23723,100208,3828,1386,1928,982,650,1396,2098100,1140907,5835
"FREUDS CAT",1113574,44838,129962,7559,436,1623,1403,1563,1690,2109500,1593151,17539
"PSYDROSE",1094092,44018,144618,10275,383,2176,1979,273,2502,2103400,2449289,14140
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"GENEROYALE",1082856,21728,56190,4605,366,1191,740,75,2024,1778000,670446,3431
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"JERSEYFIGHTER",1075148,27951,66710,10335,443,852,654,479,1950,2098600,944632,4094
