"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11167310,98053,473899,9907,1234,9597,6432,2517,10061,2128000,3262512,17684
"DIO",5595884,129343,567486,1943,2608,16640,19269,966,13094,2117800,2888214,63236
"ELAN",5581069,117673,455231,11119,685,6321,3833,2949,4846,2144200,5221527,32792
"DOGTATO",4420609,79301,393262,2623,910,5199,4295,3239,4108,2113300,5694344,13501
"ROLEN",4150730,114714,270683,6973,378,16211,5983,559,9029,2131200,3834353,25280
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3487891,118706,330931,7150,593,4578,4159,2185,4560,2115100,2379159,20387
"RARE PEPE",3163873,69922,286538,9392,914,6077,3819,1602,6170,2118300,1909856,34679
"MELLCOR",2997881,45343,153047,4647,558,3689,1767,553,4187,2103300,1063591,5408
"UNIT G17",2972434,53761,221249,3262,1300,4941,3616,1003,4429,2106900,1627575,9252
"HEPTICAL",2924818,80652,265130,13513,1059,6861,3991,2392,6748,2119800,2400475,29211
"MR. BANG",2784961,46676,212580,2253,978,2131,1545,1012,2760,1664700,489542,1739
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2521420,78618,345066,10590,535,5948,4113,1364,3702,2109900,2905792,34328
"KUWAII",2479243,35435,188592,335,946,2125,1822,896,4618,2099200,525611,3300
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"JFJFJFJFJFJF",2406231,55619,137846,5119,921,2215,1629,1685,2483,2110200,2038989,8727
"LORENCES",2396694,59188,200193,8847,391,4024,2744,404,5683,2108700,1636102,13523
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"MELOONS",2298296,36041,162977,5741,938,3189,1980,471,3069,2099500,866107,10493
"SPECINEFF",2290917,53420,120899,6583,359,3202,2714,420,3812,2108900,1013682,18468
"TARN",2240186,41905,157722,6550,418,3746,1443,271,2500,2103900,1300930,12653
"MR. WEIRDO",2212802,67860,221149,6617,842,5127,2570,1432,2733,2111300,2570870,13704
"TERATAI",2212025,51817,140357,8105,886,1839,1042,499,1658,2107000,1164629,7480
"RJ971",2111639,133044,385747,25267,455,3084,2977,1869,4287,2147500,7952381,34246
"I AM GAY",1962922,44845,116627,10613,664,3182,1914,691,4872,2103200,1397139,9061
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"ESTY",1854124,36226,143536,5263,538,1998,1279,923,1895,2103600,1595788,10415
"SEMI",1812479,72374,209255,6599,594,3304,2360,1663,4749,2115900,3158989,19351
"CHITKUA",1742988,57071,177959,6571,728,2672,1985,937,3631,2116400,2364240,22845
"DONKY",1742518,60589,149973,9370,389,3282,1801,1000,3148,2118000,2834638,19617
"TOD THE WOODSMAN",1737372,27580,128955,3341,491,1359,922,478,848,2102700,1135923,7924
"SILKY",1712271,43890,160562,9375,1236,2067,1298,192,4406,2101800,1719891,12306
"MAYSTER",1676588,23324,114437,1091,2015,1778,1203,615,821,1834400,1133739,5182
"ROSS__84",1644913,18315,143182,1792,885,2086,1123,106,1185,1838800,1221821,6869
"DOX",1642810,37936,177938,5001,490,2995,2279,456,2511,2101900,2250613,19498
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"X-STAR",1582641,56405,159163,3849,413,1713,2820,987,2296,2102100,3005787,7872
"CUCUMBER",1548678,53379,159689,4842,350,3403,2392,508,5131,2109100,1823916,24031
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"GREENHORN",1473537,37938,119099,9214,321,2467,1432,635,2207,2108000,1899787,13835
"ROSTISLAVAMK",1426674,48643,220857,10489,986,3798,2584,234,3137,2116900,3876731,20684
"DIASHU ZUK",1410004,67039,161036,7451,345,2150,1814,1330,4017,2116100,2203130,17823
"LLLLL-",1400833,34244,204989,719,1111,3521,2232,345,2159,2099100,897872,6370
"RIKKUN",1395138,49090,127327,5917,1120,2224,1137,683,1460,2106900,2383782,4466
"SHIGEGGG",1377843,95667,210074,19095,410,1927,1401,1197,5722,2131600,5544851,9313
"JATIMATIK",1377567,51588,148917,9126,436,2701,2038,1973,2697,2108400,2609599,8240
"KICHERKEKS",1373644,55472,185221,5189,806,1935,1695,764,3124,2103000,1881610,5248
"JUSTIN FAN",1370874,63860,180937,9249,305,3155,3305,1202,1903,2126100,3880228,15637
"IRYON",1364225,67270,239197,12099,644,4027,2409,481,1557,2113900,5066726,12482
"JUNKYARD DOG",1361914,43063,165342,13736,314,2619,1454,1437,2892,2117800,2751080,44537
"REFRIGER RAIDER",1340520,49887,111027,11884,657,2754,1513,287,4278,2107000,1253595,12848
"CAPTAIN VODKA",1291609,35039,112370,4314,413,2097,1016,484,2679,2103700,1483892,4876
"1",1255529,56118,143769,12636,365,1753,1755,389,3478,2107600,1660576,9774
"HENB1",1206733,33267,112057,2885,1185,1741,1299,600,3075,2101100,794233,3986
"CIUBE",1204189,22210,75010,6855,326,1258,1070,142,703,1902300,874941,6489
"XXLEMAGEXX",1181552,29686,89590,7117,216,1519,1094,1296,1379,2103400,1421031,5332
"OCELOT",1177216,60785,137771,7346,223,1852,1034,494,3136,2111700,2801172,13581
"MR. DESYNC",1169402,25403,94891,1872,529,1968,1221,202,3079,2100200,945720,11112
"ZARTACLICKING",1167157,36199,131291,4957,539,2045,1787,477,1618,2101300,1928648,12308
"SRS_SCIENTIST",1129994,20387,60357,7584,627,974,243,246,313,2097500,821904,3036
"THRAXS",1124297,36590,129978,3252,561,1571,1127,830,1597,2103300,1911992,9028
"STAXXY",1113600,23723,100208,3828,1386,1928,982,650,1396,2098100,1140907,5835
"FREUDS CAT",1113574,44837,129962,7559,436,1623,1403,1563,1690,2109500,1593151,17539
"AKOGISHI",1109746,36453,133076,5734,602,2318,2306,715,2181,2102200,1325103,18748
"PINGO",1098094,67806,137661,7916,1126,3879,1112,1161,2320,2126800,2423911,9346
"MR. MRRINTAKARVA",1092495,33463,142612,4927,456,1552,944,857,1076,2102100,3636795,4739
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"MR. NICEGUY",1084074,32059,135245,4005,783,2076,1396,242,2010,2100100,1424131,9527
"GENEROYALE",1082856,21728,56190,4605,366,1191,740,75,2024,1778000,670446,3431
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"DARKYPWNZ",1075057,32832,99707,6700,377,2209,1848,442,3133,2103100,1394184,9919
"PSYDROSE",1071768,42997,141637,10134,383,2108,1943,257,2451,2103000,2391315,14013
"HIDDEN_DRIVER",1063069,15306,60203,4288,287,1170,962,67,2330,1258700,880681,4323
"LEMONPOWER",1060039,36166,110627,8406,714,1569,669,74,1239,2098900,1322915,7579
"JET3",1059062,60330,151000,9320,304,3289,2123,339,3301,2113600,2681022,19685
"GARNETZ",1055435,71186,119252,12557,683,2320,855,559,2577,2099600,1258993,10017
"ZEPHYRANTES",1042984,15779,70625,3295,527,1042,630,42,1302,1600100,672500,2609
"JERSEYFIGHTER",1023477,27244,64585,10201,366,825,630,455,1853,2098300,923426,4018
"DREADNOUGH",1001810,20334,76152,2553,381,1373,765,408,1590,1727500,1036200,9524
"LUA",968950,19327,94618,4515,1034,885,435,13,818,1168400,639676,2918
"THANSHUHAI",944069,16374,79106,299,1994,1009,504,325,488,1029000,686902,812
"LENNY",923196,21068,87301,1960,4000,1512,1009,125,1323,1913600,943291,2379
"NOBIO",917672,29321,106479,4792,381,1325,704,172,1474,2097700,1763875,5708
"THRILLSEEKER",908902,23337,90232,914,1078,1269,872,547,946,1832300,691935,2246
"PHLOIDE",881861,42300,139862,11029,297,1531,874,656,1788,2111400,2624575,12313
"IRON_BEN",879612,71323,107145,8869,813,4655,1853,255,4408,2116300,1262770,10039
"OM",837244,29026,123806,3220,342,2230,1483,712,1404,2099500,1111892,14400
"OUTOFMEMORY1",837148,49019,96708,4942,407,1304,1286,709,2766,2105000,1265403,6376
"HELLNO",816837,30505,114656,5229,689,1106,733,66,2573,1689700,615043,2094
"NACALYATOR",807126,49070,114103,5911,465,3094,2127,805,2731,2108700,1652012,10165
"SIR. PAIN",801101,46556,101148,9876,254,1485,788,598,3021,2104800,1511022,8474
