"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11111112,97634,471612,9868,1234,9563,6397,2512,10014,2127700,3253476,17644
"DIO",5481443,126673,557304,1910,2608,16157,18691,939,12627,2117400,2868501,62064
"ELAN",5433279,114055,442105,10873,685,6096,3718,2836,4698,2141500,5072322,31576
"DOGTATO",4009616,69121,340475,2331,910,4456,3772,2790,3635,2111100,4766680,11644
"ROLEN",3929016,108205,255629,6695,378,15362,5708,509,8714,2129200,3614720,23585
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3275207,111570,312659,6922,593,4236,3681,1970,3952,2114200,2256472,18877
"MELLCOR",2969089,44635,151182,4596,558,3652,1741,538,4087,2103100,1050279,5379
"HEPTICAL",2922704,80518,264779,13508,1059,6844,3985,2388,6741,2119700,2398157,29171
"RARE PEPE",2863027,62559,256975,8480,914,5455,3462,1435,5553,2114600,1590542,31839
"UNIT G17",2820849,51131,210146,3151,1300,4718,3440,888,4205,2106200,1549233,8723
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2521420,78618,345066,10590,535,5948,4113,1364,3702,2109900,2905792,34328
"KUWAII",2479243,35432,188592,335,946,2125,1822,896,4618,2099200,525610,3300
"MR. BANG",2451052,42311,191643,2198,978,1921,1412,910,2464,1594900,448776,1659
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"JFJFJFJFJFJF",2389212,55220,136979,5094,921,2202,1626,1681,2479,2110000,2031129,8671
"LORENCES",2307698,56236,189840,8530,391,3857,2610,381,5429,2107600,1584047,12824
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"SPECINEFF",2290917,53417,120899,6583,359,3202,2714,420,3812,2108900,1013501,18466
"TARN",2239258,41874,157624,6543,418,3741,1440,271,2496,2103900,1299778,12640
"MR. WEIRDO",2125672,66389,213659,6512,842,4963,2522,1402,2653,2111000,2501491,13349
"RJ971",2007327,127104,368346,24703,455,2914,2851,1626,4035,2145000,7627429,31009
"I AM GAY",1961166,44727,116393,10595,664,3179,1914,688,4870,2103200,1392724,9049
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"TERATAI",1934358,43758,119936,7587,886,1572,873,397,1350,2104900,975633,6092
"MELOONS",1883015,31890,134459,5372,938,2700,1642,427,2623,2098300,721025,9083
"ESTY",1852916,36177,143403,5253,538,1993,1276,923,1877,2103600,1594873,10401
"SILKY",1712271,43890,160562,9375,1236,2067,1298,192,4406,2101800,1719891,12306
"DONKY",1701749,59191,146871,9230,389,3229,1756,973,3109,2116900,2776757,19135
"CHITKUA",1671788,54516,167840,6202,728,2518,1814,906,3451,2114700,2197068,21019
"MAYSTER",1669836,22979,113775,1076,2015,1771,1197,613,814,1810400,1123789,5147
"SEMI",1667299,68451,196947,6224,594,3151,2227,1560,4439,2114300,3059957,18088
"DOX",1642810,37936,177938,5001,490,2995,2279,456,2511,2101900,2250613,19498
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"TOD THE WOODSMAN",1629953,25992,120000,3196,491,1292,850,454,803,2101400,1110619,7519
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"CUCUMBER",1521543,52733,157273,4791,350,3350,2347,504,5043,2108800,1801032,23641
"GREENHORN",1472953,37910,119041,9209,321,2466,1431,635,2194,2107900,1898804,13822
"X-STAR",1453642,53275,148405,3666,413,1608,2590,859,2117,2101700,2841116,7194
"ROSTISLAVAMK",1426674,48643,220857,10489,986,3798,2584,234,3137,2116900,3876731,20684
"RIKKUN",1395138,49090,127327,5917,1120,2224,1137,683,1460,2106900,2383782,4466
"KICHERKEKS",1373644,55472,185221,5189,806,1935,1695,764,3124,2103000,1881610,5248
"IRYON",1364225,67268,239197,12099,644,4027,2409,481,1557,2113900,5066726,12482
"JUNKYARD DOG",1354193,42872,164218,13678,314,2597,1445,1427,2863,2117700,2726553,44349
"DIASHU ZUK",1352265,64595,154277,7208,345,2071,1746,1256,3826,2114900,2116175,17128
"REFRIGER RAIDER",1340520,49887,111027,11884,657,2754,1513,287,4278,2107000,1253595,12848
"CAPTAIN VODKA",1289072,34892,111987,4307,413,2094,1013,478,2634,2103600,1480524,4842
"HENB1",1206733,33267,112057,2885,1185,1741,1299,600,3075,2101100,794233,3986
"CIUBE",1193444,21752,73935,6697,326,1242,1058,139,698,1858000,862633,6365
"XXLEMAGEXX",1181552,29686,89590,7117,216,1519,1094,1296,1379,2103400,1421031,5332
"OCELOT",1177216,60785,137771,7346,223,1852,1034,494,3136,2111700,2801172,13581
"ZARTACLICKING",1141626,35480,128435,4854,539,1988,1760,470,1585,2100900,1893766,12079
"SRS_SCIENTIST",1129994,20387,60357,7584,627,974,243,246,313,2097500,821904,3036
"FREUDS CAT",1113574,44830,129962,7559,436,1623,1403,1563,1690,2109500,1593151,17539
"AKOGISHI",1109608,36441,133041,5730,602,2318,2306,715,2181,2102200,1324992,18742
"LLLLL-",1096580,27709,160965,639,1111,2769,1733,305,1673,2098300,721069,5047
"STAXXY",1090745,22910,97213,3698,1386,1867,931,618,1330,2097600,1095997,5617
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"GENEROYALE",1082856,21728,56190,4605,366,1191,740,75,2024,1778000,670446,3431
"MR. NICEGUY",1080019,31917,134519,3970,783,2071,1391,240,2005,2100000,1412839,9479
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"DARKYPWNZ",1074911,32822,99679,6700,377,2209,1847,442,3133,2103100,1394028,9914
"PSYDROSE",1071768,42997,141637,10134,383,2108,1943,257,2451,2103000,2391315,14013
"HIDDEN_DRIVER",1063069,15306,60203,4288,287,1170,962,67,2330,1258700,880681,4323
"LEMONPOWER",1060039,36166,110627,8406,714,1569,669,74,1239,2098900,1322915,7579
"JET3",1047331,59815,149359,9269,304,3253,2103,328,3281,2113300,2647903,19553
