"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11056440,97313,469502,9832,1234,9525,6381,2499,9971,2127600,3245100,17602
"ELAN",5410041,113418,439786,10832,685,6039,3691,2820,4682,2141100,5038811,31307
"DIO",5370386,123477,544837,1843,2608,15673,18150,893,12123,2116900,2841880,60857
"DOGTATO",3930482,67172,330590,2276,910,4339,3671,2714,3521,2110800,4634205,11297
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"ROLEN",3915412,107720,254599,6673,378,15323,5685,507,8678,2129100,3599791,23462
"MRTEA",3247152,110639,309973,6865,593,4161,3636,1944,3903,2113900,2232482,18545
"MELLCOR",2967687,44580,151012,4592,558,3651,1739,538,4076,2103100,1049232,5374
"HEPTICAL",2893339,79590,261016,13433,1059,6732,3918,2365,6659,2119300,2378027,28758
"RARE PEPE",2803845,60826,250769,8170,914,5277,3342,1417,5403,2113600,1547067,30952
"UNIT G17",2791264,50578,208012,3129,1300,4680,3393,869,4166,2106000,1534164,8601
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2521420,78618,345066,10590,535,5948,4113,1364,3702,2109900,2905792,34328
"KUWAII",2479243,35432,188592,335,946,2125,1822,896,4618,2099200,525610,3300
"MR. BANG",2437718,42084,190830,2193,978,1911,1410,904,2451,1592700,444874,1653
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"JFJFJFJFJFJF",2338432,53490,133068,4975,921,2164,1595,1598,2386,2109400,1971975,8400
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"LORENCES",2291964,55842,188226,8454,391,3842,2598,378,5403,2107400,1575982,12712
"SPECINEFF",2290914,53415,120898,6581,359,3202,2714,420,3812,2108900,1013449,18466
"TARN",2239258,41874,157624,6543,418,3741,1440,271,2496,2103900,1299778,12640
"MR. WEIRDO",2104178,65854,211397,6477,842,4925,2496,1395,2612,2110900,2471051,13243
"RJ971",1985827,125836,364776,24563,455,2867,2831,1579,3982,2144500,7548910,30246
"I AM GAY",1961166,44727,116393,10595,664,3179,1914,688,4870,2103200,1392724,9049
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"TERATAI",1866756,41682,113222,7442,886,1514,826,379,1281,2104100,913916,5694
"ESTY",1850890,36120,143128,5251,538,1992,1276,923,1877,2103600,1592643,10385
"MELOONS",1753865,30393,124840,5236,938,2481,1516,406,2469,2097800,674679,8494
"SILKY",1712271,43890,160562,9375,1236,2067,1298,192,4406,2101800,1719891,12306
"DONKY",1701749,59191,146871,9230,389,3229,1756,973,3109,2116900,2776757,19135
"MAYSTER",1669836,22979,113775,1076,2015,1771,1197,613,814,1810400,1123789,5147
"CHITKUA",1656141,53911,165654,6112,728,2495,1781,898,3416,2114300,2155641,20436
"DOX",1642810,37936,177938,5001,490,2995,2279,456,2511,2101900,2250613,19498
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"SEMI",1609410,66813,191858,6063,452,3056,2146,1533,4341,2113700,3022095,17563
"TOD THE WOODSMAN",1569461,24774,113479,3093,491,1256,794,442,781,2100800,1092208,7241
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"CUCUMBER",1517815,52654,157002,4784,350,3339,2344,503,5032,2108800,1799212,23599
"GREENHORN",1472953,37910,119041,9209,321,2466,1431,635,2194,2107900,1898804,13822
"ROSTISLAVAMK",1423741,48571,220428,10478,986,3791,2583,234,3132,2116800,3871107,20653
"RIKKUN",1395138,49090,127327,5917,1120,2224,1137,683,1460,2106900,2383782,4466
"X-STAR",1389282,51710,143417,3556,413,1561,2496,804,2065,2101400,2768364,6886
"IRYON",1364225,67268,239197,12099,644,4027,2409,481,1557,2113900,5066726,12482
"DIASHU ZUK",1352265,64595,154277,7208,345,2071,1746,1256,3826,2114900,2116175,17128
"JUNKYARD DOG",1345532,42571,162846,13615,314,2570,1433,1398,2829,2117500,2695049,44017
"REFRIGER RAIDER",1330217,49456,109900,11837,657,2733,1507,284,4224,2106900,1242641,12745
"KICHERKEKS",1313730,54355,180374,5114,806,1865,1618,738,3002,2102800,1870764,5181
"CAPTAIN VODKA",1289072,34892,111987,4307,413,2094,1013,478,2634,2103600,1480524,4842
"HENB1",1206733,33267,112057,2885,1185,1741,1299,600,3075,2101100,794233,3986
"CIUBE",1193444,21752,73935,6697,326,1242,1058,139,698,1858000,862633,6365
"XXLEMAGEXX",1181552,29686,89590,7117,216,1519,1094,1296,1379,2103400,1421031,5332
"OCELOT",1177216,60785,137771,7346,223,1852,1034,494,3136,2111700,2801172,13581
"SRS_SCIENTIST",1129994,20387,60357,7584,627,974,243,246,313,2097500,821904,3036
"ZARTACLICKING",1113580,34682,125623,4787,539,1927,1710,453,1540,2100500,1864039,11752
"FREUDS CAT",1113574,44830,129962,7559,436,1623,1403,1563,1690,2109500,1593151,17539
"AKOGISHI",1109608,36441,133041,5730,602,2318,2306,715,2181,2102200,1324992,18742
"STAXXY",1090745,22909,97213,3698,1386,1867,931,618,1330,2097600,1095996,5617
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"GENEROYALE",1082856,21728,56190,4605,366,1191,740,75,2024,1778000,670446,3431
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"MR. NICEGUY",1079430,31880,134405,3967,783,2070,1391,240,2004,2100000,1409614,9473
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"DARKYPWNZ",1074911,32822,99679,6700,377,2209,1847,442,3133,2103100,1394028,9914
"PSYDROSE",1070512,42934,141461,10128,383,2106,1942,257,2450,2102900,2386053,14003
"HIDDEN_DRIVER",1063069,15306,60203,4288,287,1170,962,67,2330,1258700,880681,4323
"LEMONPOWER",1060039,36166,110627,8406,714,1569,669,74,1239,2098900,1322915,7579
"JET3",1047331,59815,149359,9269,304,3253,2103,328,3281,2113300,2647903,19553
"ZEPHYRANTES",1040756,15754,70481,3293,527,1038,628,42,1294,1596500,671004,2607
"GARNETZ",1038645,70450,117761,12368,683,2294,850,521,2557,2099500,1241698,9885
"MR. MRRINTAKARVA",1030368,31798,136475,4740,456,1470,914,793,957,2101500,3462652,4608
"DREADNOUGH",1001810,20334,76152,2553,381,1373,765,408,1590,1727500,1036200,9524
"LUA",968950,19327,94618,4515,1034,885,435,13,818,1168400,639676,2918
"THANSHUHAI",944069,16374,79106,299,1994,1009,504,325,488,1029000,686902,812
"LENNY",922696,21041,87233,1960,4000,1512,1009,124,1322,1913600,940321,2379
"NOBIO",917672,29321,106479,4792,381,1325,704,172,1474,2097700,1763875,5708
"THRILLSEEKER",908902,23337,90232,914,1078,1269,872,547,946,1832300,691935,2246
"THRAXS",893036,31943,108605,2919,411,1332,944,682,1307,2100900,1575329,7771
"PHLOIDE",881861,42300,139862,11029,297,1531,874,656,1788,2111400,2624575,12313
"IRON_BEN",879612,71323,107145,8869,813,4655,1853,255,4408,2116300,1262770,10039
"SHIGEGGG",837490,68426,174086,16734,410,1216,1165,699,3603,2124500,4563415,6665
"JUSTIN FAN",834081,41800,111991,6589,305,1763,1696,725,1279,2112800,2531706,9906
"MR. DESYNC",824306,18028,65655,1344,529,1365,797,143,2346,1934600,647665,7719
"HELLNO",816837,30505,114656,5229,689,1106,733,66,2573,1689700,615043,2094
"SIR. PAIN",798420,46451,100694,9863,254,1479,786,598,3017,2104800,1503974,8428
"ASSIMILATOR",796166,31231,89894,7504,345,1557,1162,303,1415,2099500,1261268,14355
"OUTOFMEMORY1",782975,46060,90140,4691,407,1225,1217,629,2647,2103900,1150195,6001
"JATIMATIK",782719,36266,88572,7701,403,1789,1324,1040,2101,2102800,1591271,6932
"LLLLL-",776608,20907,115280,536,1111,1946,1220,256,1266,2097600,570951,3618
"DKFLA2222",773763,33297,133509,10020,326,1058,781,197,1597,2096300,3122317,9258
"MUKAIJIMA",770842,51494,163923,38842,181,2003,1534,1043,2804,2099000,1882938,52632
"SKATEGRAVITY",759567,21312,78614,4674,407,821,516,329,1060,2003000,1306070,3176
"NACALYATOR",736652,45755,105451,5608,465,2808,1959,712,2522,2107300,1516780,9513
"SILVER BACK",704848,43640,99313,11616,175,1210,866,634,1883,2109600,1450966,10484
"IMOMUSHI",689247,35025,83262,7020,352,2935,2018,564,2436,2103600,1496286,12434
"OM",683727,23103,99902,2596,342,1871,1202,554,1187,2097300,851726,11168
"JERSEYFIGHTER",679218,21873,47959,9371,362,589,430,259,1421,1876700,741849,3334
"ESP-PLAYSKULL",678515,18684,78256,1771,839,587,597,305,797,1285400,461662,1948
"BREAD",676495,29862,81051,8928,472,1027,660,534,2850,2099900,1495434,5844
"PINGO",669407,41239,79848,4982,1126,2148,543,547,1316,2107900,1445231,5293
"MOBIUS STRIP",667527,20490,75088,3593,343,2451,2059,175,1405,1799400,878921,9622
"BED RELT",666734,29690,101888,980,473,784,842,845,408,2100500,2877127,5277
"DBR0WN",649049,19257,48927,1563,286,937,387,548,1076,1647800,892037,2961
"STEYR",645057,13325,48612,3332,349,934,508,35,732,905500,558810,1861
"DOMEHATOP",636313,15306,67942,2921,554,829,650,78,1566,946900,578350,2895
"MR. GREENBEANMK1",634868,23621,115286,2249,1024,1444,1497,58,865,1715400,488104,3586
"STEFANOBANG1",620916,32924,64388,4995,315,1059,690,120,2156,2099600,1893101,3859
"BLUE2TH",620834,24399,87570,7700,472,1526,1481,369,1762,2097400,1073546,7797
"CY@",609568,20539,40652,7601,454,1252,592,77,1498,1992100,511397,5640
"COCONUT135",607984,25464,59960,6832,198,1080,601,185,1694,2100200,772105,6687
"ANZAC_JOE",604329,32119,80154,6835,510,591,972,306,687,1914800,1575816,7048
"PANZER VOR",601142,19638,65537,2703,528,1990,714,55,1305,2087600,746240,4342
"CORBEN DALLAS",593805,37542,94523,11887,373,707,1021,303,1373,2098000,1671016,17637
"ZELF",590227,8020,29406,1868,1640,777,466,36,1298,494100,168495,1400
":3",586926,41587,82199,15501,443,891,687,784,1654,2103400,1022584,18491
"RANDY UCHIDA",586900,21678,43247,2271,355,1081,868,57,1546,1549300,358425,4281
"LIFY",584376,10423,55702,559,586,880,584,143,686,930900,463710,2597
"CODERNEM",573126,21604,51804,3886,217,561,314,475,714,2097800,729710,1947
"ONLINE SECURITY",560833,12579,46049,2891,296,413,233,33,810,1289500,730146,1057
