"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11111112,97664,471622,9868,1234,9563,6397,2512,10017,2127700,3253980,17646
"DIO",5568692,128658,564884,1941,2608,16529,19098,963,12961,2117700,2883357,62926
"ELAN",5455795,114592,444481,10911,685,6148,3745,2853,4716,2141900,5100218,31812
"DOGTATO",4130560,72059,355978,2406,910,4679,3911,2908,3786,2111800,5038042,12111
"ROLEN",3957371,109545,258394,6744,378,15538,5757,519,8767,2129600,3661894,23878
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3281908,111865,313316,6928,593,4244,3699,1981,3971,2114200,2281659,18985
"MELLCOR",2969124,44662,151184,4597,558,3652,1741,538,4087,2103100,1050293,5379
"RARE PEPE",2930718,64147,263037,8734,914,5572,3538,1475,5684,2115500,1619625,32615
"HEPTICAL",2924818,80652,265130,13513,1059,6861,3991,2392,6748,2119800,2400475,29211
"UNIT G17",2844294,51702,212514,3174,1300,4776,3496,913,4242,2106300,1569033,8884
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2521420,78618,345066,10590,535,5948,4113,1364,3702,2109900,2905792,34328
"KUWAII",2479243,35432,188592,335,946,2125,1822,896,4618,2099200,525610,3300
"MR. BANG",2478975,42682,193351,2204,978,1933,1429,928,2498,1601400,452944,1669
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"JFJFJFJFJFJF",2406208,55615,137842,5118,921,2215,1629,1685,2483,2110200,2038981,8727
"LORENCES",2325592,56868,192171,8597,391,3888,2635,388,5480,2107900,1595660,12963
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"SPECINEFF",2290917,53417,120899,6583,359,3202,2714,420,3812,2108900,1013501,18466
"TARN",2239258,41874,157624,6543,418,3741,1440,271,2496,2103900,1299778,12640
"MR. WEIRDO",2150066,66935,216191,6547,842,5025,2537,1410,2688,2111100,2522412,13489
"MELOONS",2134933,34557,151802,5622,938,3003,1855,452,2895,2099100,827449,10031
"RJ971",2021231,127929,370925,24786,455,2931,2869,1661,4064,2145500,7676045,31462
"TERATAI",2013401,46013,126438,7751,886,1652,946,420,1456,2105700,1037930,6595
"I AM GAY",1962922,44837,116627,10613,664,3182,1914,691,4872,2103200,1397139,9061
