"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",12345678,106211,528794,10801,1234,10558,6968,2769,11214,2131200,3535090,19051
"ELAN",5859124,123733,478919,11584,685,6732,4017,3123,5105,2147800,5441577,34611
"DOGTATO",5662644,105829,531866,3354,910,7170,5627,4590,5278,2118500,8180317,18713
"DIO",5595884,129343,567486,1943,2608,16640,19269,966,13094,2117800,2888214,63236
"ROSS__84",4977045,51283,436160,3692,1217,6417,3982,249,3444,2111700,3718057,17168
"ROLEN",4698864,130947,306571,7691,378,18391,6799,708,10002,2135600,4347869,29189
"SHEITANYAHOUÂ²",3922029,101718,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3799775,129074,361526,7495,593,5095,4908,2458,5488,2116800,2997139,23430
"RARE PEPE",3666599,86253,353239,11348,914,6827,4490,2167,7130,2128900,3439706,39560
"UNIT G17",3424008,62420,255771,3642,1300,5651,4227,1359,5160,2109400,1866081,11363
"HEPTICAL",3209036,87494,293023,14064,1059,7663,4408,2652,7349,2121400,2569708,31771
"MELLCOR",3118336,47385,159019,4816,558,3814,1815,592,4407,2103900,1099868,5544
"MR. BANG",3086284,50433,229796,2299,978,2259,1632,1114,2994,1722200,530959,1827
"JUSTIN FAN",2767567,113382,340033,13316,305,6770,6775,2589,3645,2146900,6444644,28573
"BLACKANDREW",2761217,87260,378791,11458,535,6590,4456,1604,4200,2112100,3275863,39172
"TERATAI",2624833,65294,170290,8928,886,2176,1254,641,2008,2110200,1458917,9619
"RJ971",2615239,157902,463593,26967,455,3975,3640,2810,5237,2155700,9489790,47811
"THE FARMER",2580847,44771,225118,5656,1721,3563,4837,736,3607,2103200,1363049,20011
"LORENCES",2501252,62431,211435,9199,391,4235,2841,421,5944,2109600,1693073,14307
"KUWAII",2479243,35603,188592,335,946,2125,1822,896,4618,2099200,525612,3301
"SEMI",2474014,86718,264936,8002,594,4210,3105,2059,6199,2121400,3800507,24672
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"JFJFJFJFJFJF",2412057,56022,138401,5161,921,2219,1630,1708,2488,2110400,2049800,8805
"MR. WEIRDO",2395762,72502,240539,6998,842,5452,2766,1599,2931,2112900,2837517,14988
"SPECINEFF",2377968,57771,130169,7080,359,3374,2893,466,4105,2110800,1157177,20102
"MELOONS",2346430,36445,165914,5789,938,3234,2014,475,3107,2099700,878917,10586
"OLD FART",2323981,29802,152766,1023,731,3106,2274,365,4407,2099600,1079386,11823
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"TARN",2240375,41935,157753,6561,418,3749,1449,271,2503,2103900,1301386,12671
"JATIMATIK",2127016,67963,218341,10166,436,3819,2846,3074,3426,2113600,3708302,9318
"DOX",2107162,48797,236271,6383,490,4008,3070,570,3534,2106500,2897593,25903
"CHITKUA",2083711,67666,221982,7833,728,3317,2745,1140,4547,2122600,3050474,31202
"WJSLK",2057580,55519,266662,15199,1073,4545,4008,608,8389,2117500,2728888,23287
"DONKY",2011822,66632,164647,9832,389,3582,1992,1147,3464,2120700,3025449,21920
"ROCHELLE",2008591,21816,191574,750,933,1638,1381,222,1459,1589200,1567948,4039
"I AM GAY",1977622,45362,117914,10669,664,3208,1937,701,4958,2103400,1409142,9134
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"SHIGEGGG",1884320,122483,276581,22290,410,2493,1637,1553,7121,2143100,7912033,14566
"ESTY",1868623,36595,145076,5320,538,2016,1292,934,1930,2103800,1618428,10482
"TOD THE WOODSMAN",1837142,29391,138110,3516,505,1458,1001,501,906,2103800,1194868,8446
"X-STAR",1819236,61915,178221,4188,413,1952,3203,1176,2599,2102800,3270866,8950
"SILKY",1714454,44122,160999,9437,1236,2067,1301,192,4428,2101800,1727031,12413
"MAYSTER",1689176,23793,115871,1112,2015,1803,1217,624,842,1872000,1157271,5232
"LLLLL-",1675135,39971,242914,811,1315,3994,2635,408,2595,2099900,1150309,7411
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"THRAXS",1618545,49731,180394,4051,1125,2165,1568,1274,2210,2109200,2584495,13034
"CUCUMBER",1588649,53984,162251,4877,350,3453,2438,519,5188,2109400,1855854,24280
"REFRIGER RAIDER",1557617,56967,131541,12915,657,3172,1799,339,4948,2110700,1464969,15566
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"DIASHU ZUK",1529149,72307,174397,7996,345,2339,1955,1485,4481,2119500,2349419,19196
"PSYDROSE",1490167,56399,186760,11789,383,3081,2525,480,3672,2108500,3093960,16181
"GREENHORN",1478347,38184,119753,9289,321,2481,1440,637,2237,2108000,1909690,13972
"CAPTAIN VODKA",1460545,38832,126809,4594,469,2373,1205,598,3011,2105300,1634784,5450
"JUNKYARD DOG",1458919,45552,177614,14209,314,2831,1563,1597,3050,2119900,3004251,47100
"SARGENT WHISKY",1437812,39783,122454,6920,325,2522,1690,743,2793,2108300,1741048,11612
"DECEASED VETERAN",1436789,19444,94275,1343,690,1034,676,274,1337,1273000,1063852,2139
"RIKKUN",1431899,49992,129758,6046,1120,2291,1155,704,1514,2107300,2423089,4539
"ROSTISLAVAMK",1426674,48643,220857,10489,986,3798,2584,234,3137,2116900,3876731,20684
"KICHERKEKS",1373644,55475,185221,5189,806,1935,1695,764,3124,2103000,1881610,5248
"IRYON",1364279,67272,239197,12099,644,4027,2409,481,1557,2113900,5066726,12482
"PINGO",1320820,78894,163811,9162,1126,4633,1345,1357,2679,2134100,2890083,10864
"ZARTACLICKING",1292205,39041,143951,5297,539,2243,1958,551,1772,2102100,2059587,13627
"JET3",1286246,70524,182195,10053,322,3941,2567,438,3855,2117800,3093877,22345
"CIUBE",1242416,23694,78464,7187,326,1303,1128,161,746,2045800,917038,6807
"Ã¤Â»Â¥Ã¤Â¸ÂÃ¦ÂÂÃ§ÂÂ¾",1207346,24088,124890,1207,797,1658,1163,309,1221,1952900,1507041,7417
"HENB1",1206733,33277,112057,2885,1185,1741,1299,600,3075,2101100,794347,3996
"MR. DESYNC",1199569,25903,97047,1894,529,2023,1256,209,3182,2100300,967430,11314
"XXLEMAGEXX",1181552,29686,89590,7117,216,1519,1094,1296,1379,2103400,1421031,5332
"OCELOT",1177216,60785,137771,7346,223,1852,1034,494,3136,2111700,2801172,13581
"AKOGISHI",1139502,37876,137318,5892,602,2373,2399,747,2288,2102800,1381681,19530
"SRS_SCIENTIST",1129994,20387,60357,7584,627,974,243,246,313,2097500,821904,3036
"MR. NICEGUY",1127320,33588,141758,4186,783,2149,1475,270,2072,2100800,1521667,10114
"STAXXY",1126439,24125,101737,3904,1386,1952,991,676,1419,2098400,1163209,5930
"F2P_MAGGOT",1124931,43628,103878,8853,225,2342,2079,1085,4700,2104300,1149911,13516
"MR. MRRINTAKARVA",1123377,34079,145205,4987,456,1589,956,877,1102,2102300,3715472,4769
"KISETU",1114019,29082,121336,6546,662,1581,1535,244,2255,2097700,1358707,12194
"FREUDS CAT",1113636,44854,129966,7560,436,1623,1403,1566,1690,2109500,1593264,17539
"GARNETZ",1104247,73978,124342,13487,683,2504,894,668,2741,2100100,1319771,10770
"JERSEYFIGHTER",1097517,28470,68059,10433,443,881,670,501,2017,2098800,957589,4156
"DARKYPWNZ",1090656,33147,101090,6733,377,2226,1882,456,3175,2103200,1411408,10010
"GENEROYALE",1089708,22295,57426,4704,366,1215,748,79,2063,1839700,687308,3513
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"HIDDEN_DRIVER",1063768,15323,60283,4292,287,1170,962,67,2330,1260800,882154,4324
"LEMONPOWER",1060039,36166,110627,8406,714,1569,669,74,1239,2098900,1322915,7579
"ZEPHYRANTES",1043155,15787,70647,3295,527,1042,630,42,1302,1601200,673090,2609
"SIR. PAIN",1042917,55364,125347,11097,254,1871,1011,754,3739,2109300,1884966,11453
"PANZER VOR",1021781,27169,103846,3266,882,2951,1151,92,1910,2099200,1059820,7340
"LUA",1020304,20649,99738,4776,1034,942,473,14,930,1275300,675260,3045
"IMOMUSHI",1020101,43938,112811,8751,352,4001,2737,735,3300,2108700,1937459,16334
"THANSHUHAI",1010634,17816,84920,329,1994,1086,567,348,565,1116600,765254,862
"HARLAND",1002385,33913,98430,3766,420,1436,786,946,1588,2097400,1313752,3810
"DREADNOUGH",1001810,20334,76152,2553,381,1373,765,408,1590,1727500,1036200,9524
"LENNY",926739,21195,87791,1962,4000,1519,1012,126,1342,1916500,957063,2385
"MR.MUDE MG",924047,57517,158104,16550,193,1061,1225,360,2903,2108300,3359073,28256
"OM",922878,32150,136629,3619,342,2478,1607,793,1576,2100500,1248710,16141
"NOBIO",917672,29321,106479,4792,381,1325,704,172,1474,2097700,1763875,5708
"THRILLSEEKER",908902,23337,90232,914,1078,1269,872,547,946,1832300,691935,2246
"PHLOIDE",881861,42300,139862,11029,297,1531,874,656,1788,2111400,2624575,12313
"IRON_BEN",879612,71323,107145,8869,813,4655,1853,255,4408,2116300,1262770,10039
"MR.YOU",873856,44694,155570,4009,1367,3938,3601,786,4020,2104800,2142741,17755
"ZELI",864299,45497,120771,11035,310,1834,1368,1102,1214,2102400,2084866,14508
"TKW",862409,40444,101674,2945,438,2463,2764,202,3397,2101000,1044255,17217
"OUTOFMEMORY1",857698,49946,98112,5014,407,1329,1311,731,2812,2105300,1289740,6477
"DKFLA2222",857442,37409,148348,10859,326,1124,852,221,1738,2098500,3529936,10176
"CORBEN DALLAS",854615,46793,119550,12608,373,931,1256,500,1830,2102300,1972458,21346
"RICTUS",850804,47832,188725,4260,829,1191,1914,189,1402,2098400,1216244,4376
"MISTAKILL",842209,39260,101227,9559,280,1259,910,802,2072,2106700,1350315,6413
"NACALYATOR",827003,49725,115926,5963,465,3142,2172,848,2768,2109000,1681999,10253
"PANZER_KATZE",823020,33245,116011,2023,521,1251,2024,1669,1411,2101700,1686202,5278
"HELLNO",816837,30505,114656,5229,689,1106,733,66,2573,1689700,615043,2094
"STEVE450",808951,30488,100594,2698,665,1498,977,363,1640,2100100,1239944,6598
"COCONUT135",799914,32989,80246,8268,198,1498,848,280,2211,2104500,1173829,8786
"ASSIMILATOR",797328,31322,90088,7541,345,1564,1168,305,1416,2099500,1265200,14435
"FLAT CAT",778270,33310,100846,3800,363,1203,1203,1589,1153,2102500,1279782,12647
"FRIDAY",774010,35311,107340,2968,445,2028,1115,732,2410,2103300,1711449,5698
"MUKAIJIMA",771359,51518,164010,38852,181,2005,1534,1043,2806,2099000,1883931,52656
"NUOBOY",770417,29245,109026,9928,557,1270,909,472,1790,2105700,1430814,14202
"SKATEGRAVITY",759567,21312,78614,4674,407,821,516,329,1060,2003000,1306070,3176
"WILLIAMIONIANA",754242,39122,74435,5307,248,1447,795,1219,2744,2103300,1083982,5907
"WANZER",740920,31086,120606,3464,486,810,810,767,771,2099100,2025984,6442
"BLUE2TH",734198,28015,102136,8578,472,1850,1723,518,2213,2099800,1186692,9324
"E=MC^2",713377,19194,76448,3455,567,934,590,535,1317,1950000,833681,5882
"XM177",709234,25613,76333,11084,224,898,743,1540,1115,2098200,1526712,5499
"SILVER BACK",704848,43640,99313,11616,175,1210,866,634,1883,2109600,1450966,10484
"KILROY",704653,27236,82113,7263,272,1544,779,621,1879,2100600,1430708,9283
"DEADSH0T",701629,12571,77605,475,2622,649,539,77,726,748200,297138,1935
"EAKING",698307,18562,70724,1349,631,1410,962,327,1968,1651500,385715,6156
"BEAUTOWNOUTLAW",690564,55002,80145,4293,1061,1987,1187,887,2681,2104300,1369965,7300
"ZEALOT163",689889,32712,72784,8687,761,2244,1122,419,3313,2102900,866292,6240
"MOBIUS STRIP",682653,20941,76685,3661,343,2493,2099,180,1444,1854200,892007,9870
"ELYSIUM",680715,34190,139220,2337,1528,850,449,135,978,1843300,1302783,6046
"ESP-PLAYSKULL",678515,18684,78256,1771,839,587,597,305,797,1285400,461662,1948
"BREAD",677981,29946,81248,8940,472,1032,661,535,2860,2099900,1498918,5900
"BED RELT",666734,29690,101888,980,473,784,842,845,408,2100500,2877127,5277
"DBR0WN",649641,19279,48993,1563,286,937,388,549,1076,1650600,892755,2965
"STEYR",645057,13325,48612,3332,349,934,508,35,732,905500,558810,1861
