"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11502882,100489,489167,10141,1234,9849,6589,2610,10402,2128700,3352146,18045
"ELAN",5715020,120840,465938,11350,685,6510,3917,3050,4981,2146000,5321973,33651
"DIO",5595884,129343,567486,1943,2608,16640,19269,966,13094,2117800,2888214,63236
"DOGTATO",4718356,86649,428857,2816,910,5658,4667,3631,4388,2115000,6379759,14836
"ROLEN",4296684,119445,281020,7201,378,16816,6216,613,9310,2132600,3998415,26478
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3544196,120711,335431,7197,593,4655,4290,2249,4759,2115200,2465936,20971
"RARE PEPE",3345208,75940,308560,10109,914,6490,4257,1735,6594,2121700,2175517,36705
"UNIT G17",3085015,56478,230580,3356,1300,5171,3825,1102,4620,2107700,1689593,9860
"MELLCOR",3066083,46700,156618,4759,558,3781,1793,578,4319,2103600,1085805,5495
"HEPTICAL",2979313,82080,270810,13652,1059,6998,4067,2443,6869,2120100,2434428,29701
"MR. BANG",2962713,48585,221807,2276,978,2190,1596,1073,2882,1691400,508945,1784
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2521420,78618,345066,10590,535,5948,4113,1364,3702,2109900,2905792,34328
"KUWAII",2479243,35601,188592,335,946,2125,1822,896,4618,2099200,525612,3301
"TERATAI",2467189,60170,157794,8646,886,2056,1174,590,1904,2109200,1317014,8851
"LORENCES",2431501,60228,203371,8952,391,4086,2760,410,5759,2109100,1650713,13762
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"JFJFJFJFJFJF",2406227,55642,137848,5122,921,2215,1629,1685,2484,2110200,2039450,8729
"ROSS__84",2405138,25723,203184,2180,885,2891,1550,154,1626,2099300,1683567,8931
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"MELOONS",2298296,36041,162977,5741,938,3189,1980,471,3069,2099500,866107,10493
"SPECINEFF",2296540,53947,121850,6616,359,3208,2721,426,3826,2109100,1030235,18672
"MR. WEIRDO",2292461,69861,229675,6776,842,5254,2662,1497,2802,2112000,2683708,14249
"TARN",2240186,41905,157722,6550,418,3746,1443,271,2500,2103900,1300930,12653
"RJ971",2221044,138673,402130,25635,455,3276,3094,2047,4546,2149400,8272574,37141
"DONKY",2011822,66632,164647,9832,389,3582,1992,1147,3464,2120700,3025449,21920
"SEMI",1981224,78164,226131,7102,594,3515,2601,1830,5191,2118200,3384297,21529
"I AM GAY",1964822,44934,116807,10624,664,3188,1917,693,4882,2103200,1399390,9071
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"ESTY",1854124,36226,143536,5263,538,1998,1279,923,1895,2103600,1595788,10415
"CHITKUA",1810018,59294,186424,6814,728,2797,2161,980,3837,2117900,2482533,24490
"X-STAR",1799756,61433,176689,4165,413,1929,3172,1154,2580,2102700,3249061,8837
"TOD THE WOODSMAN",1797205,28790,134914,3447,491,1423,972,494,891,2103400,1162696,8284
"SILKY",1712901,43971,160669,9388,1236,2067,1298,192,4412,2101800,1721596,12320
"DOX",1683842,38999,183391,5160,490,3087,2361,468,2570,2102300,2317227,20076
"MAYSTER",1676588,23326,114437,1091,2015,1778,1203,615,821,1834600,1133739,5182
"JUSTIN FAN",1666620,74598,213906,10294,305,3809,3975,1469,2293,2131100,4468456,18515
"JOE SHMO",1634086,67649,217239,7489,405,2687,1815,653,1759,2115600,2301653,23649
"JATIMATIK",1602465,56709,168703,9480,436,3025,2310,2277,2948,2110200,2931130,8662
"LLLLL-",1573195,37677,228684,773,1315,3832,2531,384,2432,2099500,1077938,7058
"CUCUMBER",1548678,53386,159689,4842,350,3403,2392,508,5131,2109100,1823916,24031
"SMOKO",1538818,50171,112320,1421,589,2748,2080,967,1684,2103100,1945061,17214
"SHIGEGGG",1513490,102285,222960,19651,410,2135,1473,1308,6230,2133700,5849537,10004
"GREENHORN",1476629,38124,119570,9261,321,2478,1436,637,2225,2108000,1906231,13918
"DIASHU ZUK",1458071,69108,166332,7665,345,2225,1857,1395,4172,2117500,2264535,18420
"ROSTISLAVAMK",1426674,48643,220857,10489,986,3798,2584,234,3137,2116900,3876731,20684
"JUNKYARD DOG",1424333,44576,173004,13968,314,2735,1512,1547,2969,2119100,2915289,46056
"RIKKUN",1395149,49148,127330,5922,1120,2224,1137,683,1460,2106900,2383907,4466
"KICHERKEKS",1373644,55472,185221,5189,806,1935,1695,764,3124,2103000,1881610,5248
"IRYON",1364225,67271,239197,12099,644,4027,2409,481,1557,2113900,5066726,12482
"REFRIGER RAIDER",1340520,49887,111027,11884,657,2754,1513,287,4278,2107000,1253595,12848
"CAPTAIN VODKA",1291609,35039,112370,4314,413,2097,1016,484,2679,2103700,1483892,4876
"THRAXS",1286532,40312,145093,3499,561,1810,1275,974,1822,2105000,2075139,9946
"1",1278770,56715,145547,12693,365,1764,1772,391,3509,2107800,1685178,9840
"HENB1",1206733,33267,112057,2885,1185,1741,1299,600,3075,2101100,794233,3986
"PINGO",1204466,72416,147709,8319,1126,4175,1199,1268,2476,2129500,2587795,9810
"CIUBE",1204189,22210,75010,6855,326,1258,1070,142,703,1902300,874941,6489
"ZARTACLICKING",1187469,36781,133732,5038,539,2084,1823,489,1638,2101500,1958083,12585
"XXLEMAGEXX",1181552,29686,89590,7117,216,1519,1094,1296,1379,2103400,1421031,5332
"OCELOT",1177216,60785,137771,7346,223,1852,1034,494,3136,2111700,2801172,13581
"MR. DESYNC",1171416,25451,95105,1873,529,1973,1221,202,3088,2100200,948890,11130
"SRS_SCIENTIST",1129994,20387,60357,7584,627,974,243,246,313,2097500,821904,3036
"AKOGISHI",1126879,37232,135399,5820,602,2346,2349,732,2215,2102400,1356420,19187
"MR. MRRINTAKARVA",1123377,34079,145205,4987,456,1589,956,877,1102,2102300,3715472,4769
"MR. NICEGUY",1123071,33480,141287,4172,783,2141,1469,267,2069,2100800,1516121,10067
"STAXXY",1113600,23723,100208,3828,1386,1928,982,650,1396,2098100,1140907,5835
"FREUDS CAT",1113585,44842,129965,7559,436,1623,1403,1563,1690,2109500,1593227,17539
"PSYDROSE",1094092,44018,144618,10275,383,2176,1979,273,2502,2103400,2449289,14140
"SRS",1086090,22619,68352,7189,584,1075,332,141,524,2097500,927056,2084
"GENEROYALE",1082856,21728,56190,4605,366,1191,740,75,2024,1778000,670446,3431
"STAIN",1080001,17416,49188,4407,526,1845,767,96,1465,1848500,681360,5119
"KID_MONSTER",1076651,26578,60293,5409,899,1519,573,304,1349,2101100,999066,3708
"JERSEYFIGHTER",1075355,27970,66736,10339,443,852,654,480,1951,2098600,945522,4105
"DARKYPWNZ",1075057,32832,99707,6700,377,2209,1848,442,3133,2103100,1394184,9919
"GARNETZ",1073790,72314,121273,12921,683,2406,871,604,2620,2099800,1287435,10258
"JET3",1068267,60742,152307,9356,304,3304,2145,345,3322,2113800,2696638,19826
"HIDDEN_DRIVER",1063069,15306,60203,4288,287,1170,962,67,2330,1258700,880681,4323
"LEMONPOWER",1060039,36166,110627,8406,714,1569,669,74,1239,2098900,1322915,7579
"ZEPHYRANTES",1042984,15779,70625,3295,527,1042,630,42,1302,1600100,672500,2609
