"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"STREET VETERAN",11502882,100482,489167,10141,1234,9849,6589,2610,10402,2128700,3352144,18045
"ELAN",5715020,120840,465938,11350,685,6510,3917,3050,4981,2146000,5321973,33651
"DIO",5595884,129343,567486,1943,2608,16640,19269,966,13094,2117800,2888214,63236
"DOGTATO",4706399,86236,427167,2807,910,5637,4654,3601,4378,2114800,6343803,14772
"ROLEN",4295794,119408,280934,7200,378,16809,6216,613,9310,2132600,3996985,26471
"SHEITANYAHOUÂ²",3922029,101717,432161,1973,2745,5634,5788,958,3386,2113900,3303899,12230
"MRTEA",3544157,120705,335426,7197,593,4655,4290,2249,4759,2115200,2465527,20971
"RARE PEPE",3337536,75721,307597,10067,914,6479,4253,1723,6582,2121500,2169671,36609
"UNIT G17",3074784,56332,230017,3350,1300,5163,3817,1097,4609,2107600,1687522,9821
"MELLCOR",3058354,46475,155972,4738,558,3769,1785,572,4291,2103600,1078597,5479
"MR. BANG",2962713,48585,221807,2276,978,2190,1596,1073,2882,1691400,508945,1784
"HEPTICAL",2961448,81760,269099,13614,1059,6967,4053,2425,6835,2120000,2422910,29609
"THE FARMER",2580901,44769,225118,5652,1721,3563,4837,736,3603,2103200,1363045,20011
"BLACKANDREW",2521420,78618,345066,10590,535,5948,4113,1364,3702,2109900,2905792,34328
"KUWAII",2479243,35601,188592,335,946,2125,1822,896,4618,2099200,525612,3301
"TERATAI",2461615,60030,157440,8635,886,2053,1171,590,1899,2109100,1315479,8833
"ASTRONEST",2427511,34491,171134,3827,617,1638,1327,988,1518,2097900,1459057,5999
"LORENCES",2427339,60112,203029,8939,391,4066,2757,410,5746,2109000,1649221,13745
"JFJFJFJFJFJF",2406227,55642,137848,5122,921,2215,1629,1685,2484,2110200,2039450,8729
"ENDLESSSSUMMERS",2304862,61098,113556,12073,698,4292,2300,436,5387,2109000,1584192,12293
"MELOONS",2298296,36041,162977,5741,938,3189,1980,471,3069,2099500,866107,10493
"SPECINEFF",2296540,53947,121850,6616,359,3208,2721,426,3826,2109100,1030235,18672
"ROSS__84",2288675,24782,195207,2136,885,2745,1476,149,1585,2098900,1607276,8699
"MR. WEIRDO",2287475,69702,229173,6765,842,5239,2651,1496,2789,2111900,2680187,14212
"TARN",2240186,41905,157722,6550,418,3746,1443,271,2500,2103900,1300930,12653
"RJ971",2217163,138441,401352,25613,455,3271,3092,2043,4536,2149400,8260176,36999
"DONKY",2011822,66632,164647,9832,389,3582,1992,1147,3464,2120700,3025449,21920
"SEMI",1975871,77936,225491,7081,594,3502,2593,1823,5164,2118100,3375677,21433
"I AM GAY",1964822,44934,116807,10624,664,3188,1917,693,4882,2103200,1399390,9071
"TPBEAR",1955853,44859,153180,6927,1429,2126,1605,919,2531,2107800,1973496,6001
"ESTY",1854124,36226,143536,5263,538,1998,1279,923,1895,2103600,1595788,10415
"CHITKUA",1801185,58986,185316,6786,728,2777,2135,972,3806,2117700,2464742,24259
"TOD THE WOODSMAN",1797205,28790,134914,3447,491,1423,972,494,891,2103400,1162696,8284
"X-STAR",1780063,60767,174517,4113,413,1907,3139,1123,2537,2102600,3224177,8728
"SILKY",1712901,43971,160669,9388,1236,2067,1298,192,4412,2101800,1721596,12320
"DOX",1679255,38920,182839,5142,490,3069,2347,467,2561,2102300,2311295,20032
